il,ilce,koltuk_tipi,koltuk_sayisi,leke_durumu,fiyat
İzmir,Karşıyaka,Üçlü,5,"Evet, zor lekeler var",1397 TL
Bursa,Yıldırım,İkili,5,"Evet, zor lekeler var",968 TL
Ankara,Keçiören,U Köşe,1,"Evet, zor lekeler var",1960 TL
Antalya,Alanya,L Köşe,3,"Hayır, genel temizlik yeterli",1202 TL
Antalya,Muratpaşa,U Köşe,3,"Hayır, genel temizlik yeterli",317 TL
Bursa,Osmangazi,L Köşe,4,"Evet, zor lekeler var",425 TL
İstanbul,Üsküdar,L Köşe,6,"Hayır, genel temizlik yeterli",2070 TL
Antalya,Kepez,L Köşe,3,"Hayır, genel temizlik yeterli",835 TL
İstanbul,Beşiktaş,Üçlü,5,"Hayır, genel temizlik yeterli",1113 TL
Antalya,Muratpaşa,U Köşe,6,"Evet, zor lekeler var",447 TL
Ankara,Etimesgut,İkili,1,"Evet, zor lekeler var",1934 TL
İzmir,Karşıyaka,İkili,1,"Hayır, genel temizlik yeterli",1449 TL
İzmir,Bornova,Tekli,3,"Evet, zor lekeler var",2378 TL
Antalya,Alanya,Tekli,4,"Evet, zor lekeler var",1041 TL
İzmir,Karşıyaka,L Köşe,3,"Evet, zor lekeler var",1752 TL
İstanbul,Beşiktaş,Üçlü,5,"Hayır, genel temizlik yeterli",459 TL
İzmir,Bornova,Tekli,1,"Hayır, genel temizlik yeterli",1306 TL
Antalya,Kepez,İkili,6,"Hayır, genel temizlik yeterli",697 TL
Antalya,Muratpaşa,İkili,4,"Hayır, genel temizlik yeterli",637 TL
Bursa,Nilüfer,U Köşe,5,"Hayır, genel temizlik yeterli",2152 TL
İstanbul,Bakırköy,L Köşe,5,"Evet, zor lekeler var",746 TL
İzmir,Konak,İkili,2,"Evet, zor lekeler var",1099 TL
Bursa,Nilüfer,Tekli,2,"Hayır, genel temizlik yeterli",1027 TL
Antalya,Muratpaşa,Tekli,3,"Evet, zor lekeler var",1947 TL
İzmir,Karşıyaka,İkili,2,"Hayır, genel temizlik yeterli",2329 TL
İzmir,Konak,İkili,4,"Evet, zor lekeler var",1096 TL
İstanbul,Üsküdar,U Köşe,4,"Hayır, genel temizlik yeterli",1341 TL
Ankara,Keçiören,L Köşe,6,"Hayır, genel temizlik yeterli",910 TL
İstanbul,Kadıköy,İkili,6,"Evet, zor lekeler var",939 TL
İstanbul,Üsküdar,İkili,3,"Evet, zor lekeler var",951 TL
İstanbul,Beşiktaş,Üçlü,1,"Hayır, genel temizlik yeterli",1399 TL
İzmir,Buca,Tekli,6,"Evet, zor lekeler var",1732 TL
Bursa,Osmangazi,L Köşe,3,"Hayır, genel temizlik yeterli",1893 TL
Bursa,Osmangazi,U Köşe,4,"Hayır, genel temizlik yeterli",1804 TL
Antalya,Muratpaşa,İkili,6,"Hayır, genel temizlik yeterli",817 TL
İzmir,Buca,Tekli,6,"Hayır, genel temizlik yeterli",1379 TL
Antalya,Kepez,Tekli,6,"Hayır, genel temizlik yeterli",1718 TL
İstanbul,Kadıköy,U Köşe,3,"Evet, zor lekeler var",1316 TL
Antalya,Alanya,U Köşe,6,"Evet, zor lekeler var",1033 TL
Antalya,Muratpaşa,İkili,6,"Hayır, genel temizlik yeterli",2322 TL
Antalya,Alanya,İkili,4,"Evet, zor lekeler var",1203 TL
İzmir,Karşıyaka,Üçlü,3,"Evet, zor lekeler var",1130 TL
Bursa,Nilüfer,İkili,1,"Evet, zor lekeler var",1408 TL
Bursa,Osmangazi,Tekli,6,"Hayır, genel temizlik yeterli",1950 TL
Antalya,Kepez,Tekli,4,"Hayır, genel temizlik yeterli",2197 TL
İzmir,Konak,L Köşe,1,"Hayır, genel temizlik yeterli",1318 TL
Antalya,Muratpaşa,L Köşe,6,"Evet, zor lekeler var",1738 TL
Bursa,Yıldırım,Üçlü,3,"Hayır, genel temizlik yeterli",2462 TL
İzmir,Karşıyaka,L Köşe,5,"Evet, zor lekeler var",2227 TL
Bursa,Osmangazi,Tekli,6,"Hayır, genel temizlik yeterli",695 TL
Bursa,Yıldırım,İkili,4,"Evet, zor lekeler var",577 TL
İzmir,Buca,İkili,5,"Hayır, genel temizlik yeterli",1371 TL
Ankara,Keçiören,L Köşe,1,"Evet, zor lekeler var",1440 TL
Bursa,Osmangazi,Tekli,2,"Evet, zor lekeler var",1752 TL
İstanbul,Üsküdar,Üçlü,3,"Hayır, genel temizlik yeterli",950 TL
İstanbul,Bakırköy,L Köşe,5,"Evet, zor lekeler var",1269 TL
İzmir,Buca,Üçlü,2,"Evet, zor lekeler var",961 TL
İzmir,Karşıyaka,Tekli,1,"Evet, zor lekeler var",2296 TL
Ankara,Etimesgut,İkili,2,"Hayır, genel temizlik yeterli",560 TL
İstanbul,Üsküdar,İkili,5,"Evet, zor lekeler var",776 TL
Bursa,Nilüfer,Üçlü,3,"Hayır, genel temizlik yeterli",822 TL
Antalya,Muratpaşa,Tekli,1,"Hayır, genel temizlik yeterli",2151 TL
Antalya,Alanya,İkili,4,"Evet, zor lekeler var",489 TL
Ankara,Mamak,U Köşe,3,"Hayır, genel temizlik yeterli",1710 TL
Bursa,Yıldırım,U Köşe,3,"Evet, zor lekeler var",477 TL
Bursa,Yıldırım,Üçlü,3,"Evet, zor lekeler var",1004 TL
Bursa,Nilüfer,İkili,5,"Evet, zor lekeler var",1903 TL
İzmir,Bornova,U Köşe,5,"Hayır, genel temizlik yeterli",2327 TL
Bursa,Osmangazi,Üçlü,4,"Hayır, genel temizlik yeterli",1228 TL
Ankara,Mamak,Üçlü,2,"Hayır, genel temizlik yeterli",2253 TL
Antalya,Alanya,Tekli,4,"Evet, zor lekeler var",1699 TL
Bursa,Osmangazi,Üçlü,1,"Hayır, genel temizlik yeterli",2326 TL
Bursa,Yıldırım,Üçlü,1,"Hayır, genel temizlik yeterli",773 TL
Ankara,Çankaya,Üçlü,2,"Evet, zor lekeler var",685 TL
Antalya,Alanya,Tekli,3,"Hayır, genel temizlik yeterli",806 TL
İzmir,Konak,Tekli,4,"Evet, zor lekeler var",1128 TL
İstanbul,Üsküdar,U Köşe,2,"Hayır, genel temizlik yeterli",764 TL
Ankara,Etimesgut,Üçlü,3,"Evet, zor lekeler var",1078 TL
İstanbul,Üsküdar,U Köşe,5,"Hayır, genel temizlik yeterli",2426 TL
Bursa,Yıldırım,Tekli,6,"Evet, zor lekeler var",2284 TL
İstanbul,Kadıköy,İkili,3,"Evet, zor lekeler var",2230 TL
İstanbul,Beşiktaş,L Köşe,1,"Evet, zor lekeler var",1056 TL
Ankara,Çankaya,İkili,2,"Hayır, genel temizlik yeterli",302 TL
İstanbul,Kadıköy,U Köşe,1,"Hayır, genel temizlik yeterli",2055 TL
Bursa,Yıldırım,Üçlü,6,"Evet, zor lekeler var",676 TL
Bursa,Yıldırım,Üçlü,5,"Evet, zor lekeler var",1417 TL
Ankara,Çankaya,Üçlü,5,"Hayır, genel temizlik yeterli",1186 TL
Ankara,Mamak,Tekli,3,"Hayır, genel temizlik yeterli",1679 TL
İstanbul,Beşiktaş,Üçlü,6,"Hayır, genel temizlik yeterli",1781 TL
İzmir,Buca,U Köşe,2,"Evet, zor lekeler var",1397 TL
Antalya,Alanya,L Köşe,2,"Hayır, genel temizlik yeterli",1752 TL
Bursa,Nilüfer,L Köşe,5,"Hayır, genel temizlik yeterli",1590 TL
Antalya,Alanya,Üçlü,6,"Hayır, genel temizlik yeterli",428 TL
Ankara,Keçiören,Üçlü,1,"Hayır, genel temizlik yeterli",1462 TL
Bursa,Yıldırım,L Köşe,5,"Hayır, genel temizlik yeterli",1208 TL
Bursa,Nilüfer,L Köşe,6,"Hayır, genel temizlik yeterli",2412 TL
Ankara,Çankaya,Tekli,1,"Hayır, genel temizlik yeterli",1207 TL
Ankara,Çankaya,Üçlü,6,"Evet, zor lekeler var",769 TL
İstanbul,Beşiktaş,Üçlü,5,"Hayır, genel temizlik yeterli",2497 TL
Antalya,Muratpaşa,L Köşe,3,"Evet, zor lekeler var",893 TL
Bursa,Yıldırım,L Köşe,6,"Hayır, genel temizlik yeterli",1578 TL
Bursa,Osmangazi,Üçlü,2,"Hayır, genel temizlik yeterli",2489 TL
Ankara,Mamak,İkili,1,"Evet, zor lekeler var",514 TL
İzmir,Konak,Üçlü,4,"Hayır, genel temizlik yeterli",391 TL
Ankara,Çankaya,L Köşe,2,"Evet, zor lekeler var",1480 TL
Ankara,Keçiören,Üçlü,6,"Evet, zor lekeler var",2081 TL
Antalya,Alanya,Tekli,5,"Evet, zor lekeler var",2067 TL
Antalya,Muratpaşa,U Köşe,6,"Hayır, genel temizlik yeterli",338 TL
Antalya,Muratpaşa,Tekli,3,"Hayır, genel temizlik yeterli",958 TL
Bursa,Yıldırım,İkili,3,"Evet, zor lekeler var",1007 TL
İstanbul,Kadıköy,İkili,4,"Hayır, genel temizlik yeterli",764 TL
İstanbul,Üsküdar,Tekli,2,"Hayır, genel temizlik yeterli",945 TL
Bursa,Yıldırım,U Köşe,2,"Hayır, genel temizlik yeterli",2327 TL
Antalya,Muratpaşa,Üçlü,6,"Evet, zor lekeler var",1562 TL
Antalya,Kepez,İkili,3,"Evet, zor lekeler var",555 TL
Bursa,Yıldırım,L Köşe,3,"Hayır, genel temizlik yeterli",1520 TL
Antalya,Muratpaşa,Tekli,1,"Evet, zor lekeler var",1767 TL
İstanbul,Üsküdar,U Köşe,3,"Hayır, genel temizlik yeterli",2231 TL
İstanbul,Bakırköy,Üçlü,6,"Evet, zor lekeler var",2346 TL
Ankara,Keçiören,U Köşe,3,"Evet, zor lekeler var",814 TL
Bursa,Yıldırım,U Köşe,4,"Evet, zor lekeler var",1891 TL
Bursa,Nilüfer,Tekli,4,"Evet, zor lekeler var",989 TL
Ankara,Etimesgut,Tekli,6,"Evet, zor lekeler var",2500 TL
İzmir,Bornova,L Köşe,3,"Hayır, genel temizlik yeterli",751 TL
Bursa,Yıldırım,İkili,3,"Hayır, genel temizlik yeterli",869 TL
Ankara,Etimesgut,U Köşe,2,"Evet, zor lekeler var",2016 TL
Bursa,Nilüfer,U Köşe,4,"Hayır, genel temizlik yeterli",1516 TL
İzmir,Karşıyaka,Tekli,3,"Hayır, genel temizlik yeterli",2262 TL
İzmir,Buca,U Köşe,5,"Evet, zor lekeler var",311 TL
Bursa,Nilüfer,L Köşe,4,"Evet, zor lekeler var",2200 TL
İzmir,Buca,Üçlü,2,"Evet, zor lekeler var",866 TL
Antalya,Kepez,İkili,2,"Evet, zor lekeler var",659 TL
Bursa,Yıldırım,U Köşe,4,"Evet, zor lekeler var",312 TL
İzmir,Konak,Tekli,4,"Evet, zor lekeler var",339 TL
İzmir,Buca,İkili,4,"Evet, zor lekeler var",1555 TL
Bursa,Nilüfer,Üçlü,1,"Hayır, genel temizlik yeterli",1047 TL
Ankara,Keçiören,Tekli,6,"Hayır, genel temizlik yeterli",1838 TL
Antalya,Muratpaşa,İkili,5,"Hayır, genel temizlik yeterli",1511 TL
İzmir,Konak,İkili,6,"Evet, zor lekeler var",1714 TL
Antalya,Kepez,Üçlü,5,"Evet, zor lekeler var",2138 TL
Antalya,Kepez,İkili,3,"Evet, zor lekeler var",2403 TL
Ankara,Keçiören,Üçlü,6,"Evet, zor lekeler var",2387 TL
Bursa,Osmangazi,L Köşe,4,"Evet, zor lekeler var",590 TL
Bursa,Osmangazi,U Köşe,5,"Hayır, genel temizlik yeterli",592 TL
Antalya,Alanya,Tekli,6,"Evet, zor lekeler var",1145 TL
İstanbul,Üsküdar,Üçlü,6,"Evet, zor lekeler var",991 TL
Ankara,Etimesgut,Tekli,2,"Evet, zor lekeler var",339 TL
İstanbul,Kadıköy,U Köşe,1,"Evet, zor lekeler var",968 TL
İzmir,Karşıyaka,İkili,5,"Evet, zor lekeler var",1918 TL
Bursa,Yıldırım,L Köşe,2,"Hayır, genel temizlik yeterli",2468 TL
Antalya,Muratpaşa,Tekli,5,"Hayır, genel temizlik yeterli",2108 TL
Bursa,Osmangazi,İkili,2,"Hayır, genel temizlik yeterli",1387 TL
İzmir,Konak,Tekli,6,"Evet, zor lekeler var",1876 TL
Antalya,Alanya,Tekli,5,"Evet, zor lekeler var",985 TL
Bursa,Nilüfer,L Köşe,4,"Hayır, genel temizlik yeterli",2104 TL
İzmir,Karşıyaka,U Köşe,6,"Hayır, genel temizlik yeterli",1718 TL
Antalya,Kepez,L Köşe,5,"Hayır, genel temizlik yeterli",2168 TL
İzmir,Karşıyaka,Üçlü,4,"Evet, zor lekeler var",2277 TL
İstanbul,Bakırköy,Üçlü,4,"Evet, zor lekeler var",1517 TL
Bursa,Osmangazi,İkili,6,"Evet, zor lekeler var",1193 TL
Bursa,Osmangazi,U Köşe,6,"Evet, zor lekeler var",940 TL
Bursa,Yıldırım,Tekli,1,"Evet, zor lekeler var",443 TL
Ankara,Etimesgut,Üçlü,6,"Hayır, genel temizlik yeterli",595 TL
İstanbul,Kadıköy,L Köşe,6,"Evet, zor lekeler var",1247 TL
Antalya,Muratpaşa,Üçlü,4,"Evet, zor lekeler var",1713 TL
Bursa,Nilüfer,L Köşe,6,"Evet, zor lekeler var",2416 TL
İstanbul,Beşiktaş,İkili,5,"Evet, zor lekeler var",1860 TL
Ankara,Mamak,L Köşe,2,"Hayır, genel temizlik yeterli",419 TL
İstanbul,Üsküdar,U Köşe,2,"Evet, zor lekeler var",1537 TL
Bursa,Osmangazi,Üçlü,3,"Hayır, genel temizlik yeterli",2089 TL
İstanbul,Üsküdar,U Köşe,4,"Hayır, genel temizlik yeterli",337 TL
Bursa,Nilüfer,L Köşe,3,"Hayır, genel temizlik yeterli",653 TL
Ankara,Mamak,İkili,3,"Hayır, genel temizlik yeterli",429 TL
Antalya,Kepez,İkili,5,"Evet, zor lekeler var",1529 TL
Ankara,Mamak,U Köşe,4,"Hayır, genel temizlik yeterli",404 TL
Ankara,Etimesgut,İkili,5,"Evet, zor lekeler var",440 TL
Bursa,Nilüfer,L Köşe,6,"Hayır, genel temizlik yeterli",1639 TL
Antalya,Muratpaşa,Tekli,4,"Hayır, genel temizlik yeterli",1646 TL
Ankara,Etimesgut,U Köşe,1,"Evet, zor lekeler var",1581 TL
İstanbul,Kadıköy,L Köşe,4,"Hayır, genel temizlik yeterli",505 TL
Ankara,Mamak,Üçlü,1,"Evet, zor lekeler var",2319 TL
İstanbul,Kadıköy,Üçlü,2,"Evet, zor lekeler var",1977 TL
Ankara,Etimesgut,İkili,1,"Hayır, genel temizlik yeterli",2192 TL
İstanbul,Beşiktaş,U Köşe,1,"Hayır, genel temizlik yeterli",1779 TL
İzmir,Konak,Üçlü,5,"Hayır, genel temizlik yeterli",1960 TL
İzmir,Buca,İkili,5,"Hayır, genel temizlik yeterli",1004 TL
İzmir,Konak,U Köşe,2,"Hayır, genel temizlik yeterli",1324 TL
Antalya,Kepez,L Köşe,6,"Evet, zor lekeler var",1983 TL
Bursa,Yıldırım,İkili,4,"Evet, zor lekeler var",1666 TL
Bursa,Nilüfer,Üçlü,3,"Evet, zor lekeler var",881 TL
İzmir,Bornova,Üçlü,2,"Hayır, genel temizlik yeterli",1480 TL
İzmir,Konak,U Köşe,6,"Hayır, genel temizlik yeterli",1671 TL
Antalya,Muratpaşa,Üçlü,2,"Evet, zor lekeler var",1820 TL
İzmir,Karşıyaka,L Köşe,2,"Evet, zor lekeler var",1143 TL
İzmir,Karşıyaka,Üçlü,2,"Evet, zor lekeler var",2152 TL
İstanbul,Bakırköy,L Köşe,6,"Evet, zor lekeler var",1100 TL
İzmir,Konak,L Köşe,2,"Hayır, genel temizlik yeterli",1696 TL
İstanbul,Bakırköy,U Köşe,6,"Hayır, genel temizlik yeterli",1346 TL
Bursa,Nilüfer,Üçlü,1,"Hayır, genel temizlik yeterli",910 TL
Antalya,Kepez,U Köşe,4,"Evet, zor lekeler var",2006 TL
İstanbul,Kadıköy,L Köşe,1,"Hayır, genel temizlik yeterli",605 TL
Bursa,Osmangazi,L Köşe,6,"Evet, zor lekeler var",1095 TL
İzmir,Bornova,İkili,3,"Hayır, genel temizlik yeterli",1902 TL
Antalya,Muratpaşa,Tekli,3,"Evet, zor lekeler var",1280 TL
İstanbul,Üsküdar,Üçlü,1,"Evet, zor lekeler var",999 TL
Ankara,Çankaya,İkili,2,"Evet, zor lekeler var",871 TL
Antalya,Muratpaşa,L Köşe,4,"Hayır, genel temizlik yeterli",597 TL
Ankara,Çankaya,U Köşe,6,"Evet, zor lekeler var",649 TL
Bursa,Yıldırım,U Köşe,2,"Hayır, genel temizlik yeterli",2078 TL
Ankara,Mamak,U Köşe,3,"Evet, zor lekeler var",947 TL
Antalya,Alanya,İkili,5,"Evet, zor lekeler var",1922 TL
Bursa,Yıldırım,U Köşe,1,"Hayır, genel temizlik yeterli",2379 TL
Antalya,Muratpaşa,Üçlü,6,"Hayır, genel temizlik yeterli",2000 TL
İzmir,Buca,Üçlü,2,"Evet, zor lekeler var",1676 TL
Antalya,Alanya,Tekli,3,"Hayır, genel temizlik yeterli",1624 TL
Bursa,Osmangazi,L Köşe,6,"Evet, zor lekeler var",1686 TL
İzmir,Konak,L Köşe,3,"Hayır, genel temizlik yeterli",1601 TL
İstanbul,Bakırköy,İkili,6,"Evet, zor lekeler var",2264 TL
Bursa,Nilüfer,Tekli,2,"Evet, zor lekeler var",1406 TL
Bursa,Yıldırım,U Köşe,1,"Hayır, genel temizlik yeterli",1682 TL
Antalya,Kepez,İkili,6,"Hayır, genel temizlik yeterli",1580 TL
İzmir,Buca,İkili,6,"Hayır, genel temizlik yeterli",1446 TL
Ankara,Çankaya,İkili,2,"Evet, zor lekeler var",1060 TL
Antalya,Alanya,Tekli,2,"Evet, zor lekeler var",1266 TL
İstanbul,Üsküdar,Tekli,1,"Evet, zor lekeler var",398 TL
İstanbul,Üsküdar,İkili,3,"Evet, zor lekeler var",1488 TL
Bursa,Osmangazi,Üçlü,5,"Evet, zor lekeler var",641 TL
İzmir,Karşıyaka,Tekli,4,"Hayır, genel temizlik yeterli",1551 TL
İstanbul,Üsküdar,Üçlü,4,"Evet, zor lekeler var",2049 TL
Antalya,Alanya,U Köşe,2,"Hayır, genel temizlik yeterli",1873 TL
Antalya,Muratpaşa,İkili,1,"Evet, zor lekeler var",1733 TL
Bursa,Osmangazi,L Köşe,2,"Evet, zor lekeler var",1715 TL
Antalya,Alanya,L Köşe,4,"Evet, zor lekeler var",827 TL
İzmir,Bornova,İkili,3,"Evet, zor lekeler var",1762 TL
Ankara,Çankaya,Tekli,2,"Evet, zor lekeler var",2104 TL
İstanbul,Beşiktaş,L Köşe,1,"Evet, zor lekeler var",1822 TL
İstanbul,Beşiktaş,L Köşe,6,"Hayır, genel temizlik yeterli",2376 TL
İstanbul,Bakırköy,U Köşe,4,"Evet, zor lekeler var",1396 TL
Bursa,Yıldırım,L Köşe,4,"Evet, zor lekeler var",304 TL
Ankara,Çankaya,L Köşe,3,"Evet, zor lekeler var",386 TL
İzmir,Konak,Üçlü,5,"Hayır, genel temizlik yeterli",1176 TL
Bursa,Nilüfer,U Köşe,6,"Evet, zor lekeler var",900 TL
İzmir,Karşıyaka,İkili,2,"Evet, zor lekeler var",687 TL
Ankara,Etimesgut,İkili,2,"Hayır, genel temizlik yeterli",1347 TL
Antalya,Alanya,Üçlü,3,"Evet, zor lekeler var",1291 TL
İzmir,Konak,Tekli,1,"Hayır, genel temizlik yeterli",2438 TL
Antalya,Muratpaşa,L Köşe,5,"Hayır, genel temizlik yeterli",2332 TL
Ankara,Etimesgut,L Köşe,4,"Evet, zor lekeler var",2063 TL
İstanbul,Bakırköy,U Köşe,5,"Hayır, genel temizlik yeterli",520 TL
Antalya,Kepez,U Köşe,3,"Hayır, genel temizlik yeterli",1277 TL
Antalya,Kepez,U Köşe,2,"Evet, zor lekeler var",2464 TL
Bursa,Nilüfer,L Köşe,6,"Evet, zor lekeler var",1630 TL
Bursa,Osmangazi,U Köşe,3,"Evet, zor lekeler var",516 TL
Bursa,Osmangazi,U Köşe,6,"Hayır, genel temizlik yeterli",584 TL
Bursa,Yıldırım,Tekli,2,"Hayır, genel temizlik yeterli",1549 TL
İstanbul,Üsküdar,İkili,2,"Evet, zor lekeler var",1540 TL
Ankara,Çankaya,L Köşe,4,"Hayır, genel temizlik yeterli",2027 TL
İzmir,Bornova,Üçlü,6,"Evet, zor lekeler var",1374 TL
Ankara,Keçiören,İkili,3,"Evet, zor lekeler var",1147 TL
Antalya,Muratpaşa,L Köşe,3,"Hayır, genel temizlik yeterli",1456 TL
Ankara,Çankaya,Tekli,2,"Evet, zor lekeler var",1405 TL
İzmir,Bornova,U Köşe,3,"Hayır, genel temizlik yeterli",2362 TL
İzmir,Konak,İkili,4,"Evet, zor lekeler var",972 TL
İstanbul,Üsküdar,Tekli,6,"Hayır, genel temizlik yeterli",848 TL
İstanbul,Beşiktaş,U Köşe,1,"Hayır, genel temizlik yeterli",2359 TL
Antalya,Alanya,Tekli,5,"Evet, zor lekeler var",2136 TL
Antalya,Alanya,Tekli,3,"Evet, zor lekeler var",1155 TL
Bursa,Nilüfer,U Köşe,5,"Evet, zor lekeler var",1298 TL
İstanbul,Bakırköy,Tekli,1,"Evet, zor lekeler var",919 TL
İstanbul,Bakırköy,İkili,1,"Evet, zor lekeler var",1110 TL
İzmir,Karşıyaka,U Köşe,5,"Evet, zor lekeler var",892 TL
Antalya,Kepez,U Köşe,2,"Hayır, genel temizlik yeterli",1831 TL
Antalya,Muratpaşa,L Köşe,1,"Evet, zor lekeler var",2330 TL
Ankara,Çankaya,Üçlü,1,"Evet, zor lekeler var",849 TL
Ankara,Keçiören,L Köşe,4,"Evet, zor lekeler var",1621 TL
İzmir,Konak,U Köşe,3,"Evet, zor lekeler var",2049 TL
Ankara,Keçiören,Üçlü,5,"Evet, zor lekeler var",2139 TL
İzmir,Buca,İkili,6,"Evet, zor lekeler var",1331 TL
İstanbul,Kadıköy,L Köşe,3,"Hayır, genel temizlik yeterli",2282 TL
Ankara,Etimesgut,L Köşe,1,"Hayır, genel temizlik yeterli",1128 TL
İstanbul,Bakırköy,İkili,5,"Hayır, genel temizlik yeterli",1720 TL
İzmir,Buca,U Köşe,5,"Evet, zor lekeler var",1536 TL
Ankara,Çankaya,İkili,3,"Evet, zor lekeler var",2007 TL
Antalya,Muratpaşa,U Köşe,3,"Evet, zor lekeler var",1975 TL
Bursa,Nilüfer,Üçlü,1,"Evet, zor lekeler var",1564 TL
İzmir,Buca,Tekli,1,"Hayır, genel temizlik yeterli",1965 TL
Ankara,Etimesgut,İkili,1,"Evet, zor lekeler var",2372 TL
Ankara,Mamak,İkili,2,"Evet, zor lekeler var",2060 TL
Ankara,Etimesgut,U Köşe,5,"Evet, zor lekeler var",571 TL
Ankara,Mamak,İkili,6,"Evet, zor lekeler var",1308 TL
İstanbul,Bakırköy,U Köşe,4,"Evet, zor lekeler var",1803 TL
Ankara,Çankaya,İkili,1,"Evet, zor lekeler var",1370 TL
Bursa,Osmangazi,Tekli,4,"Hayır, genel temizlik yeterli",1352 TL
Ankara,Mamak,L Köşe,5,"Hayır, genel temizlik yeterli",525 TL
İzmir,Bornova,Tekli,6,"Evet, zor lekeler var",2140 TL
Bursa,Osmangazi,Tekli,1,"Evet, zor lekeler var",2197 TL
Bursa,Nilüfer,Üçlü,6,"Evet, zor lekeler var",1898 TL
İstanbul,Üsküdar,Tekli,3,"Evet, zor lekeler var",1204 TL
İzmir,Bornova,L Köşe,3,"Hayır, genel temizlik yeterli",350 TL
Bursa,Yıldırım,U Köşe,2,"Hayır, genel temizlik yeterli",1783 TL
İstanbul,Beşiktaş,L Köşe,6,"Evet, zor lekeler var",1339 TL
Antalya,Kepez,U Köşe,6,"Hayır, genel temizlik yeterli",2281 TL
İzmir,Bornova,Üçlü,1,"Evet, zor lekeler var",596 TL
Antalya,Kepez,L Köşe,2,"Hayır, genel temizlik yeterli",845 TL
İstanbul,Bakırköy,L Köşe,5,"Hayır, genel temizlik yeterli",2390 TL
Antalya,Muratpaşa,Tekli,4,"Evet, zor lekeler var",2078 TL
İzmir,Karşıyaka,İkili,6,"Evet, zor lekeler var",714 TL
İstanbul,Kadıköy,Üçlü,2,"Hayır, genel temizlik yeterli",1795 TL
Bursa,Nilüfer,Üçlü,2,"Evet, zor lekeler var",755 TL
Ankara,Mamak,Tekli,1,"Evet, zor lekeler var",766 TL
Ankara,Keçiören,L Köşe,3,"Hayır, genel temizlik yeterli",2259 TL
İzmir,Bornova,Üçlü,2,"Evet, zor lekeler var",905 TL
Ankara,Çankaya,Üçlü,5,"Hayır, genel temizlik yeterli",2375 TL
Ankara,Mamak,İkili,5,"Hayır, genel temizlik yeterli",370 TL
İzmir,Bornova,L Köşe,1,"Evet, zor lekeler var",1435 TL
Antalya,Muratpaşa,Üçlü,6,"Evet, zor lekeler var",1866 TL
Bursa,Osmangazi,Üçlü,5,"Evet, zor lekeler var",327 TL
İzmir,Bornova,Üçlü,2,"Evet, zor lekeler var",1300 TL
İstanbul,Üsküdar,Üçlü,3,"Hayır, genel temizlik yeterli",2186 TL
Antalya,Alanya,İkili,2,"Hayır, genel temizlik yeterli",1915 TL
Bursa,Nilüfer,L Köşe,6,"Evet, zor lekeler var",560 TL
İstanbul,Bakırköy,İkili,6,"Evet, zor lekeler var",858 TL
İstanbul,Kadıköy,L Köşe,2,"Evet, zor lekeler var",1790 TL
Bursa,Yıldırım,Üçlü,3,"Hayır, genel temizlik yeterli",785 TL
Ankara,Mamak,L Köşe,3,"Hayır, genel temizlik yeterli",342 TL
Antalya,Kepez,Üçlü,2,"Hayır, genel temizlik yeterli",1237 TL
İzmir,Buca,L Köşe,5,"Evet, zor lekeler var",1530 TL
İstanbul,Bakırköy,Tekli,6,"Hayır, genel temizlik yeterli",1769 TL
Ankara,Keçiören,U Köşe,2,"Hayır, genel temizlik yeterli",1115 TL
İstanbul,Beşiktaş,İkili,2,"Hayır, genel temizlik yeterli",1730 TL
İzmir,Konak,İkili,1,"Hayır, genel temizlik yeterli",666 TL
İzmir,Konak,L Köşe,5,"Evet, zor lekeler var",2459 TL
İstanbul,Bakırköy,L Köşe,4,"Hayır, genel temizlik yeterli",716 TL
Ankara,Çankaya,Tekli,5,"Evet, zor lekeler var",2180 TL
Ankara,Çankaya,Üçlü,1,"Hayır, genel temizlik yeterli",829 TL
Antalya,Alanya,Üçlü,5,"Evet, zor lekeler var",2128 TL
İzmir,Konak,U Köşe,3,"Hayır, genel temizlik yeterli",2309 TL
İstanbul,Üsküdar,İkili,6,"Evet, zor lekeler var",385 TL
İstanbul,Üsküdar,L Köşe,1,"Evet, zor lekeler var",750 TL
Ankara,Çankaya,İkili,1,"Evet, zor lekeler var",2317 TL
Ankara,Keçiören,Tekli,1,"Hayır, genel temizlik yeterli",459 TL
Ankara,Etimesgut,İkili,6,"Evet, zor lekeler var",2220 TL
İzmir,Buca,L Köşe,3,"Evet, zor lekeler var",1945 TL
Antalya,Kepez,İkili,6,"Evet, zor lekeler var",1803 TL
Antalya,Kepez,Tekli,5,"Evet, zor lekeler var",2179 TL
Antalya,Alanya,Üçlü,1,"Evet, zor lekeler var",1839 TL
İstanbul,Kadıköy,L Köşe,4,"Evet, zor lekeler var",542 TL
Bursa,Nilüfer,Üçlü,5,"Evet, zor lekeler var",589 TL
İzmir,Konak,L Köşe,4,"Evet, zor lekeler var",2333 TL
İzmir,Konak,Üçlü,4,"Evet, zor lekeler var",2063 TL
Antalya,Alanya,İkili,5,"Hayır, genel temizlik yeterli",2412 TL
İstanbul,Üsküdar,Üçlü,6,"Hayır, genel temizlik yeterli",2188 TL
İzmir,Konak,L Köşe,5,"Hayır, genel temizlik yeterli",404 TL
Bursa,Osmangazi,Tekli,6,"Evet, zor lekeler var",875 TL
